Iteracion,x_1,x_2,x_3,Error
0,0,0,0,1.0000001
1,3.75,3.4375,4.47916666666667,1
2,4.609375,4.77213541666667,4.92404513888889,0.271044513001322
3,4.94303385416667,4.96676974826389,4.9889232494213,0.066879933301313
4,4.99169243706597,4.99515392162182,4.99838464054061,0.00973486164002847
5,4.99878848040545,4.99929328023651,4.9997644267455,0.00141927553656783
6,4.99982332005913,4.99989693670116,4.99996564556705,0.00020696935279782
7,4.99997423417529,4.99998496993559,4.99999498997853,3.01828534755654e-05
8,4.9999962424839,4.99999780811561,4.99999926937187,4.40166236452728e-06
9,4.9999994520289,4.99999968035019,4.99999989345006,6.41909014654789e-07
10,4.99999992008755,4.9999999533844,4.99999998446147,9.36117296812927e-08
