Iteration,xn,fxn,E
0,5,32.6826318205153,1.00005
1,7,159.661879775494,1.00005
2,4.48522877010418,22.7754104227868,0.560678475679493
3,4.06681673017702,17.3529596298659,0.102884410015927
4,2.72781200430936,8.60866195324953,0.49087133708346
5,1.40957702820335,5.9045757804492,0.935198963753144
6,-1.46888830738761,2.84329561844634,1.95962165476711
7,-4.14238679279928,2.99616528029125,0.645400494724206
8,48.2567828150223,1.87973282757949e+19,1.08584050886023
9,-4.14238679279928,2.99616528029125,12.6495115566965
10,-4.14238679279928,2.99616528029125,0
